,conta,duração,historico,motivo,quantia,poupança,emprego,pagador
750,negativo,6,pagamento em dia,móveis,428,ate 1000,> 7 anos,bom
751,negativo,18,pagamento em dia,carro novo,976,ate 1000,1-4 anos,mau
752,positivo,12,pagamento em dia,negócios,841,nao,4-7 anos,bom
753,sem conta,30,já atrasou pagamentos,radio/televisão,5771,ate 1000,4-7 anos,bom
754,sem conta,12,já atrasou pagamentos,reparos,1555,>1000,> 7 anos,mau
755,negativo,24,pagamento em dia,carro novo,1285,nao,4-7 anos,mau
756,positivo,6,já atrasou pagamentos,carro novo,1299,ate 1000,1-4 anos,bom
757,positivo,15,já atrasou pagamentos,radio/televisão,1271,nao,1-4 anos,mau
758,sem conta,24,pagamento em dia,carro novo,1393,ate 1000,1-4 anos,bom
759,negativo,12,já atrasou pagamentos,carro novo,691,ate 1000,> 7 anos,mau
760,sem conta,15,já atrasou pagamentos,carro novo,5045,nao,> 7 anos,bom
761,negativo,18,já atrasou pagamentos,móveis,2124,ate 1000,1-4 anos,mau
762,negativo,12,pagamento em dia,radio/televisão,2214,ate 1000,1-4 anos,bom
763,sem conta,21,já atrasou pagamentos,carro novo,12680,nao,> 7 anos,mau
764,sem conta,24,já atrasou pagamentos,carro novo,2463,nao,4-7 anos,bom
765,positivo,12,pagamento em dia,radio/televisão,1155,ate 1000,> 7 anos,bom
766,negativo,30,pagamento em dia,móveis,3108,ate 1000,1-4 anos,mau
767,sem conta,10,pagamento em dia,carro usado,2901,nao,1-4 anos,bom
768,positivo,12,já atrasou pagamentos,móveis,3617,ate 1000,> 7 anos,bom
769,sem conta,12,já atrasou pagamentos,radio/televisão,1655,ate 1000,> 7 anos,bom
770,negativo,24,pagamento em dia,carro usado,2812,nao,> 7 anos,bom
771,negativo,36,já atrasou pagamentos,educação,8065,ate 1000,1-4 anos,mau
772,sem conta,21,já atrasou pagamentos,carro usado,3275,ate 1000,> 7 anos,bom
773,sem conta,24,já atrasou pagamentos,radio/televisão,2223,nao,> 7 anos,bom
774,positivo,12,já atrasou pagamentos,carro novo,1480,ate 1000,desempregado,bom
775,negativo,24,pagamento em dia,carro novo,1371,nao,1-4 anos,mau
776,sem conta,36,já atrasou pagamentos,carro novo,3535,ate 1000,4-7 anos,bom
777,negativo,18,pagamento em dia,radio/televisão,3509,ate 1000,4-7 anos,bom
778,sem conta,36,já atrasou pagamentos,carro usado,5711,>1000,> 7 anos,bom
779,positivo,18,pagamento em dia,reparos,3872,ate 1000,desempregado,bom
780,positivo,39,já atrasou pagamentos,radio/televisão,4933,ate 1000,4-7 anos,mau
781,sem conta,24,já atrasou pagamentos,carro novo,1940,>1000,> 7 anos,bom
782,positivo,12,pagamento em dia,retreinamentos,1410,ate 1000,1-4 anos,bom
783,positivo,12,pagamento em dia,carro novo,836,nao,1-4 anos,mau
784,positivo,20,pagamento em dia,carro usado,6468,nao,desempregado,bom
785,positivo,18,pagamento em dia,negócios,1941,>1000,1-4 anos,bom
786,sem conta,22,pagamento em dia,radio/televisão,2675,ate 1000,> 7 anos,bom
787,sem conta,48,já atrasou pagamentos,carro usado,2751,nao,> 7 anos,bom
788,positivo,48,já atrasou pagamentos,educação,6224,ate 1000,> 7 anos,mau
789,negativo,40,já atrasou pagamentos,educação,5998,ate 1000,1-4 anos,mau
790,positivo,21,pagamento em dia,negócios,1188,ate 1000,> 7 anos,mau
791,sem conta,24,pagamento em dia,carro usado,6313,nao,> 7 anos,bom
792,sem conta,6,já atrasou pagamentos,móveis,1221,nao,1-4 anos,bom
793,positivo,24,pagamento em dia,móveis,2892,ate 1000,> 7 anos,bom
794,sem conta,24,pagamento em dia,móveis,3062,ate 1000,> 7 anos,bom
795,sem conta,9,pagamento em dia,móveis,2301,nao,1-4 anos,bom
796,negativo,18,pagamento em dia,carro usado,7511,nao,> 7 anos,mau
797,sem conta,12,já atrasou pagamentos,móveis,1258,ate 1000,1-4 anos,bom
798,sem conta,24,já atrasou pagamentos,carro novo,717,nao,> 7 anos,bom
799,positivo,9,pagamento em dia,carro novo,1549,nao,1-4 anos,bom
800,sem conta,24,já atrasou pagamentos,educação,1597,ate 1000,> 7 anos,bom
801,positivo,18,já atrasou pagamentos,radio/televisão,1795,ate 1000,> 7 anos,bom
802,negativo,20,já atrasou pagamentos,móveis,4272,ate 1000,> 7 anos,bom
803,sem conta,12,já atrasou pagamentos,radio/televisão,976,nao,> 7 anos,bom
804,positivo,12,pagamento em dia,carro novo,7472,nao,desempregado,bom
805,negativo,36,pagamento em dia,carro novo,9271,ate 1000,4-7 anos,mau
806,positivo,6,pagamento em dia,radio/televisão,590,ate 1000,1-4 anos,bom
807,sem conta,12,já atrasou pagamentos,radio/televisão,930,nao,> 7 anos,bom
808,positivo,42,pagamento em dia,carro usado,9283,ate 1000,desempregado,bom
809,positivo,15,pagamento em dia,carro novo,1778,ate 1000,1-4 anos,mau
810,positivo,8,pagamento em dia,negócios,907,ate 1000,1-4 anos,bom
811,positivo,6,pagamento em dia,radio/televisão,484,ate 1000,4-7 anos,bom
812,negativo,36,já atrasou pagamentos,carro usado,9629,ate 1000,4-7 anos,mau
813,negativo,48,pagamento em dia,itens de casa,3051,ate 1000,1-4 anos,mau
814,negativo,48,pagamento em dia,carro novo,3931,ate 1000,4-7 anos,mau
815,positivo,36,já atrasou pagamentos,carro novo,7432,ate 1000,1-4 anos,bom
816,sem conta,6,pagamento em dia,itens de casa,1338,ate 1000,1-4 anos,bom
817,sem conta,6,já atrasou pagamentos,radio/televisão,1554,ate 1000,4-7 anos,bom
818,negativo,36,pagamento em dia,outros,15857,ate 1000,desempregado,bom
819,negativo,18,pagamento em dia,radio/televisão,1345,ate 1000,1-4 anos,mau
820,sem conta,12,pagamento em dia,carro novo,1101,ate 1000,1-4 anos,bom
821,positivo,12,pagamento em dia,radio/televisão,3016,ate 1000,1-4 anos,bom
822,negativo,36,pagamento em dia,móveis,2712,ate 1000,> 7 anos,mau
823,negativo,8,já atrasou pagamentos,carro novo,731,ate 1000,> 7 anos,bom
824,sem conta,18,já atrasou pagamentos,móveis,3780,ate 1000,1-4 anos,bom
825,negativo,21,já atrasou pagamentos,carro novo,1602,ate 1000,> 7 anos,bom
826,negativo,18,já atrasou pagamentos,carro novo,3966,ate 1000,> 7 anos,mau
827,sem conta,18,pagamento em dia,negócios,4165,ate 1000,1-4 anos,mau
828,negativo,36,pagamento em dia,carro usado,8335,nao,> 7 anos,mau
829,positivo,48,já atrasou pagamentos,negócios,6681,nao,1-4 anos,bom
830,sem conta,24,já atrasou pagamentos,negócios,2375,ate 1000,1-4 anos,bom
831,negativo,18,pagamento em dia,carro novo,1216,ate 1000,1-4 anos,mau
832,negativo,45,pagamento em dia,negócios,11816,ate 1000,> 7 anos,mau
833,positivo,24,pagamento em dia,radio/televisão,5084,nao,> 7 anos,bom
834,positivo,15,pagamento em dia,radio/televisão,2327,ate 1000,1-4 anos,mau
835,negativo,12,pagamento em dia,carro novo,1082,ate 1000,1-4 anos,mau
836,sem conta,12,pagamento em dia,radio/televisão,886,nao,1-4 anos,bom
837,sem conta,4,pagamento em dia,móveis,601,ate 1000,1-4 anos,bom
838,negativo,24,já atrasou pagamentos,carro usado,2957,ate 1000,> 7 anos,bom
839,sem conta,24,já atrasou pagamentos,radio/televisão,2611,ate 1000,> 7 anos,bom
840,negativo,36,pagamento em dia,móveis,5179,ate 1000,4-7 anos,mau
841,sem conta,21,já atrasou pagamentos,carro usado,2993,ate 1000,1-4 anos,bom
842,sem conta,18,pagamento em dia,reparos,1943,ate 1000,1-4 anos,mau
843,sem conta,24,pagamento em dia,negócios,1559,ate 1000,4-7 anos,bom
844,sem conta,18,pagamento em dia,móveis,3422,ate 1000,> 7 anos,bom
845,positivo,21,pagamento em dia,móveis,3976,nao,4-7 anos,bom
846,sem conta,18,pagamento em dia,carro novo,6761,nao,1-4 anos,mau
847,sem conta,24,pagamento em dia,carro novo,1249,ate 1000,1-4 anos,bom
848,negativo,9,pagamento em dia,radio/televisão,1364,ate 1000,4-7 anos,bom
849,negativo,12,pagamento em dia,radio/televisão,709,ate 1000,> 7 anos,mau
850,negativo,20,já atrasou pagamentos,carro novo,2235,ate 1000,1-4 anos,mau
851,sem conta,24,já atrasou pagamentos,carro usado,4042,nao,4-7 anos,bom
852,sem conta,15,já atrasou pagamentos,radio/televisão,1471,ate 1000,1-4 anos,bom
853,negativo,18,pagamento em dia,carro novo,1442,ate 1000,4-7 anos,mau
854,sem conta,36,já atrasou pagamentos,carro novo,10875,ate 1000,> 7 anos,bom
855,sem conta,24,pagamento em dia,carro novo,1474,nao,1-4 anos,bom
856,sem conta,10,pagamento em dia,retreinamentos,894,nao,4-7 anos,bom
857,sem conta,15,já atrasou pagamentos,móveis,3343,ate 1000,1-4 anos,bom
858,negativo,15,pagamento em dia,carro novo,3959,ate 1000,1-4 anos,mau
859,sem conta,9,pagamento em dia,carro novo,3577,nao,1-4 anos,bom
860,sem conta,24,já atrasou pagamentos,carro usado,5804,>1000,1-4 anos,bom
861,sem conta,18,já atrasou pagamentos,negócios,2169,ate 1000,1-4 anos,mau
862,negativo,24,pagamento em dia,radio/televisão,2439,ate 1000,1-4 anos,mau
863,sem conta,27,já atrasou pagamentos,móveis,4526,>1000,1-4 anos,bom
864,sem conta,10,pagamento em dia,móveis,2210,ate 1000,1-4 anos,mau
865,sem conta,15,pagamento em dia,móveis,2221,ate 1000,1-4 anos,bom
866,negativo,18,pagamento em dia,radio/televisão,2389,ate 1000,1-4 anos,bom
867,sem conta,12,já atrasou pagamentos,móveis,3331,ate 1000,> 7 anos,bom
868,sem conta,36,pagamento em dia,negócios,7409,nao,> 7 anos,bom
869,negativo,12,pagamento em dia,móveis,652,ate 1000,> 7 anos,bom
870,sem conta,36,já atrasou pagamentos,móveis,7678,ate 1000,4-7 anos,bom
871,positivo,6,já atrasou pagamentos,carro novo,1343,ate 1000,> 7 anos,bom
872,negativo,24,já atrasou pagamentos,negócios,1382,nao,4-7 anos,bom
873,sem conta,15,pagamento em dia,itens de casa,874,nao,1-4 anos,bom
874,negativo,12,pagamento em dia,móveis,3590,ate 1000,1-4 anos,bom
875,positivo,11,já atrasou pagamentos,carro novo,1322,>1000,1-4 anos,bom
876,negativo,18,pagamento em dia,radio/televisão,1940,ate 1000,1-4 anos,bom
877,sem conta,36,pagamento em dia,radio/televisão,3595,ate 1000,> 7 anos,bom
878,negativo,9,pagamento em dia,carro novo,1422,ate 1000,1-4 anos,mau
879,sem conta,30,já atrasou pagamentos,radio/televisão,6742,nao,4-7 anos,bom
880,sem conta,24,pagamento em dia,carro usado,7814,ate 1000,4-7 anos,bom
881,sem conta,24,pagamento em dia,carro usado,9277,nao,1-4 anos,bom
882,positivo,30,já atrasou pagamentos,carro novo,2181,nao,> 7 anos,bom
883,sem conta,18,já atrasou pagamentos,radio/televisão,1098,ate 1000,desempregado,bom
884,positivo,24,pagamento em dia,móveis,4057,ate 1000,4-7 anos,mau
885,negativo,12,pagamento em dia,educação,795,ate 1000,1-4 anos,mau
886,positivo,24,já atrasou pagamentos,negócios,2825,nao,4-7 anos,bom
887,positivo,48,pagamento em dia,negócios,15672,ate 1000,1-4 anos,mau
888,sem conta,36,já atrasou pagamentos,carro novo,6614,ate 1000,> 7 anos,bom
889,sem conta,28,pagamento em dia,carro usado,7824,nao,1-4 anos,bom
890,negativo,27,já atrasou pagamentos,negócios,2442,ate 1000,> 7 anos,bom
891,sem conta,15,já atrasou pagamentos,radio/televisão,1829,ate 1000,> 7 anos,bom
892,negativo,12,já atrasou pagamentos,carro novo,2171,ate 1000,1-4 anos,bom
893,positivo,36,já atrasou pagamentos,carro usado,5800,ate 1000,1-4 anos,bom
894,sem conta,18,já atrasou pagamentos,radio/televisão,1169,nao,1-4 anos,bom
895,sem conta,36,já atrasou pagamentos,carro usado,8947,nao,4-7 anos,bom
896,negativo,21,pagamento em dia,radio/televisão,2606,ate 1000,1-4 anos,bom
897,sem conta,12,já atrasou pagamentos,móveis,1592,>1000,4-7 anos,bom
898,sem conta,15,pagamento em dia,móveis,2186,nao,4-7 anos,bom
899,negativo,18,pagamento em dia,móveis,4153,ate 1000,1-4 anos,mau
900,negativo,16,já atrasou pagamentos,carro novo,2625,ate 1000,> 7 anos,mau
901,sem conta,20,já atrasou pagamentos,carro novo,3485,nao,1-4 anos,bom
902,sem conta,36,já atrasou pagamentos,carro usado,10477,nao,> 7 anos,bom
903,sem conta,15,pagamento em dia,radio/televisão,1386,nao,1-4 anos,bom
904,sem conta,24,pagamento em dia,radio/televisão,1278,ate 1000,> 7 anos,bom
905,negativo,12,pagamento em dia,radio/televisão,1107,ate 1000,1-4 anos,bom
906,negativo,21,pagamento em dia,carro novo,3763,nao,4-7 anos,bom
907,positivo,36,pagamento em dia,educação,3711,nao,1-4 anos,bom
908,sem conta,15,já atrasou pagamentos,carro usado,3594,ate 1000,1-4 anos,bom
909,positivo,9,pagamento em dia,carro novo,3195,nao,1-4 anos,bom
910,sem conta,36,já atrasou pagamentos,radio/televisão,4454,ate 1000,1-4 anos,bom
911,positivo,24,já atrasou pagamentos,móveis,4736,ate 1000,1-4 anos,mau
912,positivo,30,pagamento em dia,radio/televisão,2991,nao,> 7 anos,bom
913,sem conta,11,pagamento em dia,negócios,2142,>1000,> 7 anos,bom
914,negativo,24,pagamento em dia,negócios,3161,ate 1000,1-4 anos,mau
915,positivo,48,pagamento em dia,outros,18424,ate 1000,1-4 anos,mau
916,sem conta,10,pagamento em dia,carro usado,2848,nao,1-4 anos,bom
917,negativo,6,pagamento em dia,carro novo,14896,ate 1000,> 7 anos,mau
918,negativo,24,pagamento em dia,móveis,2359,nao,desempregado,mau
919,negativo,24,pagamento em dia,móveis,3345,ate 1000,> 7 anos,mau
920,sem conta,18,já atrasou pagamentos,móveis,1817,ate 1000,1-4 anos,bom
921,sem conta,48,já atrasou pagamentos,radio/televisão,12749,ate 1000,4-7 anos,bom
922,negativo,9,pagamento em dia,radio/televisão,1366,ate 1000,1-4 anos,mau
923,positivo,12,pagamento em dia,carro novo,2002,ate 1000,4-7 anos,bom
924,negativo,24,pagamento em dia,móveis,6872,ate 1000,1-4 anos,mau
925,negativo,12,pagamento em dia,carro novo,697,ate 1000,1-4 anos,mau
926,negativo,18,já atrasou pagamentos,móveis,1049,ate 1000,1-4 anos,bom
927,negativo,48,pagamento em dia,carro usado,10297,ate 1000,4-7 anos,mau
928,sem conta,30,pagamento em dia,radio/televisão,1867,nao,> 7 anos,bom
929,negativo,12,já atrasou pagamentos,carro novo,1344,ate 1000,1-4 anos,bom
930,negativo,24,pagamento em dia,móveis,1747,ate 1000,1-4 anos,bom
931,positivo,9,pagamento em dia,radio/televisão,1670,ate 1000,1-4 anos,mau
932,sem conta,9,já atrasou pagamentos,carro novo,1224,ate 1000,1-4 anos,bom
933,sem conta,12,já atrasou pagamentos,radio/televisão,522,ate 1000,> 7 anos,bom
934,negativo,12,pagamento em dia,radio/televisão,1498,ate 1000,1-4 anos,bom
935,positivo,30,já atrasou pagamentos,radio/televisão,1919,nao,1-4 anos,mau
936,positivo,9,pagamento em dia,radio/televisão,745,ate 1000,1-4 anos,mau
937,positivo,6,pagamento em dia,radio/televisão,2063,ate 1000,1-4 anos,bom
938,positivo,60,pagamento em dia,educação,6288,ate 1000,1-4 anos,mau
939,sem conta,24,já atrasou pagamentos,carro usado,6842,nao,1-4 anos,bom
940,sem conta,12,pagamento em dia,carro novo,3527,nao,1-4 anos,bom
941,sem conta,10,pagamento em dia,carro novo,1546,ate 1000,1-4 anos,bom
942,sem conta,24,pagamento em dia,móveis,929,nao,4-7 anos,bom
943,sem conta,4,já atrasou pagamentos,carro novo,1455,ate 1000,4-7 anos,bom
944,negativo,15,pagamento em dia,móveis,1845,ate 1000,1-4 anos,bom
945,positivo,48,pagamento em dia,carro novo,8358,ate 1000,1-4 anos,bom
946,negativo,24,pagamento em dia,móveis,3349,ate 1000,1-4 anos,mau
947,sem conta,12,pagamento em dia,carro novo,2859,nao,desempregado,bom
948,sem conta,18,pagamento em dia,móveis,1533,ate 1000,1-4 anos,mau
949,sem conta,24,pagamento em dia,radio/televisão,3621,nao,> 7 anos,mau
950,positivo,18,já atrasou pagamentos,negócios,3590,ate 1000,desempregado,bom
951,negativo,36,já atrasou pagamentos,negócios,2145,ate 1000,4-7 anos,mau
952,positivo,24,pagamento em dia,carro usado,4113,ate 1000,1-4 anos,mau
953,sem conta,36,pagamento em dia,móveis,10974,ate 1000,desempregado,mau
954,negativo,12,pagamento em dia,carro novo,1893,ate 1000,1-4 anos,bom
955,negativo,24,já atrasou pagamentos,radio/televisão,1231,>1000,> 7 anos,bom
956,positivo,30,já atrasou pagamentos,radio/televisão,3656,nao,> 7 anos,bom
957,positivo,9,já atrasou pagamentos,radio/televisão,1154,ate 1000,> 7 anos,bom
958,negativo,28,pagamento em dia,carro novo,4006,ate 1000,1-4 anos,mau
959,positivo,24,pagamento em dia,móveis,3069,nao,> 7 anos,bom
960,sem conta,6,já atrasou pagamentos,radio/televisão,1740,ate 1000,> 7 anos,bom
961,positivo,21,já atrasou pagamentos,carro novo,2353,ate 1000,1-4 anos,bom
962,sem conta,15,pagamento em dia,carro novo,3556,nao,1-4 anos,bom
963,sem conta,24,pagamento em dia,radio/televisão,2397,ate 1000,> 7 anos,mau
964,positivo,6,pagamento em dia,reparos,454,ate 1000,1-4 anos,bom
965,positivo,30,pagamento em dia,radio/televisão,1715,nao,1-4 anos,bom
966,positivo,27,já atrasou pagamentos,radio/televisão,2520,ate 1000,1-4 anos,mau
967,sem conta,15,pagamento em dia,radio/televisão,3568,ate 1000,> 7 anos,bom
968,sem conta,42,pagamento em dia,radio/televisão,7166,nao,4-7 anos,bom
969,negativo,11,já atrasou pagamentos,carro novo,3939,ate 1000,1-4 anos,bom
970,positivo,15,pagamento em dia,reparos,1514,nao,1-4 anos,bom
971,sem conta,24,pagamento em dia,carro novo,7393,ate 1000,1-4 anos,bom
972,negativo,24,pagamento em dia,carro novo,1193,ate 1000,desempregado,mau
973,negativo,60,pagamento em dia,negócios,7297,ate 1000,> 7 anos,mau
974,sem conta,30,já atrasou pagamentos,radio/televisão,2831,ate 1000,1-4 anos,bom
975,positivo,24,pagamento em dia,radio/televisão,1258,ate 1000,1-4 anos,bom
976,positivo,6,pagamento em dia,radio/televisão,753,ate 1000,1-4 anos,bom
977,positivo,18,já atrasou pagamentos,negócios,2427,nao,> 7 anos,bom
978,sem conta,24,já atrasou pagamentos,carro novo,2538,ate 1000,> 7 anos,mau
979,positivo,15,pagamento em dia,carro novo,1264,nao,1-4 anos,mau
980,positivo,30,já atrasou pagamentos,móveis,8386,ate 1000,4-7 anos,mau
981,sem conta,48,pagamento em dia,negócios,4844,ate 1000,desempregado,mau
982,positivo,21,pagamento em dia,carro novo,2923,nao,1-4 anos,bom
983,negativo,36,pagamento em dia,carro usado,8229,ate 1000,1-4 anos,mau
984,sem conta,24,já atrasou pagamentos,móveis,2028,ate 1000,4-7 anos,bom
985,negativo,15,já atrasou pagamentos,móveis,1433,ate 1000,1-4 anos,bom
986,positivo,42,pagamento em dia,negócios,6289,ate 1000,1-4 anos,bom
987,sem conta,13,pagamento em dia,radio/televisão,1409,nao,desempregado,bom
988,negativo,24,pagamento em dia,carro usado,6579,ate 1000,desempregado,bom
989,positivo,24,já atrasou pagamentos,radio/televisão,1743,ate 1000,> 7 anos,bom
990,sem conta,12,já atrasou pagamentos,educação,3565,nao,1-4 anos,bom
991,sem conta,15,pagamento em dia,radio/televisão,1569,nao,> 7 anos,bom
992,negativo,18,pagamento em dia,radio/televisão,1936,nao,4-7 anos,bom
993,negativo,36,pagamento em dia,móveis,3959,ate 1000,desempregado,bom
994,sem conta,12,pagamento em dia,carro novo,2390,nao,> 7 anos,bom
995,sem conta,12,pagamento em dia,móveis,1736,ate 1000,4-7 anos,bom
996,negativo,30,pagamento em dia,carro usado,3857,ate 1000,1-4 anos,bom
997,sem conta,12,pagamento em dia,radio/televisão,804,ate 1000,> 7 anos,bom
998,negativo,45,pagamento em dia,radio/televisão,1845,ate 1000,1-4 anos,mau
999,positivo,45,já atrasou pagamentos,carro usado,4576,nao,desempregado,bom
